172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/stats/expenses HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/stats/total HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/stats/wallets HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/stats/health HTTP/1.1" 204 444 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/chart/table/expenses/category?date_time[0][start]=2023%2F12%2F01&date_time[0][end]=2023%2F12%2F31 HTTP/1.1" 204 444 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/user/settings HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/chart/line/incoming-expenses?date_time[0][start]=2023%2F01%2F01&date_time[0][end]=2023%2F01%2F28&date_time[1][start]=2023%2F02%2F01&date_time[1][end]=2023%2F02%2F28&date_time[2][start]=2023%2F03%2F01&date_time[2][end]=2023%2F03%2F28&date_time[3][start]=2023%2F04%2F01&date_time[3][end]=2023%2F04%2F28&date_time[4][start]=2023%2F05%2F01&date_time[4][end]=2023%2F05%2F28&date_time[5][start]=2023%2F06%2F01&date_time[5][end]=2023%2F06%2F28&date_time[6][start]=2023%2F07%2F01&date_time[6][end]=2023%2F07%2F28&date_time[7][start]=2023%2F08%2F01&date_time[7][end]=2023%2F08%2F28&date_time[8][start]=2023%2F09%2F01&date_time[8][end]=2023%2F09%2F28&date_time[9][start]=2023%2F10%2F01&date_time[9][end]=2023%2F10%2F28&date_time[10][start]=2023%2F11%2F01&date_time[10][end]=2023%2F11%2F28&date_time[11][start]=2023%2F12%2F01&date_time[11][end]=2023%2F12%2F28 HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/chart/bar/expenses/category?date_time[0][start]=2023%2F12%2F01&date_time[0][end]=2023%2F12%2F31 HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "OPTIONS /api/chart/bar/expenses/label?date_time[0][start]=2023%2F12%2F01&date_time[0][end]=2023%2F12%2F31 HTTP/1.1" 204 437 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
172.23.0.1 - - [07/Dec/2023:09:59:27 +0000] "GET /auth/check HTTP/1.1" 200 480 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
